station	trafic	nLines	ngrams	y	x	name	TOTAL 1	TOTAL 2	TOTAL 3	HH 1	HH 2	HH 3	HF 1	HF 2	HF 3	FH 1	FH 2	FH 3	FF 1	FF 2	FF 3
reuilly-diderot	5451933	2	"[{""word"":""yeux"",""count"":15},{""word"":""cheveux"",""count"":13},{""word"":""descendu"",""count"":11},{""word"":""regard"",""count"":10},{""word"":""sourire"",""count"":9},{""word"":""noir"",""count"":9},{""word"":""reuilly"",""count"":8},{""word"":""métro"",""count"":8},{""word"":""trop"",""count"":7},{""word"":""être"",""count"":7},{""word"":""quelques"",""count"":7},{""word"":""homme"",""count"":7},{""word"":""face"",""count"":7},{""word"":""manteau"",""count"":7},{""word"":""quand"",""count"":6},{""word"":""brun"",""count"":6},{""word"":""sac"",""count"":6},{""word"":""assis"",""count"":6},{""word"":""ligne"",""count"":6},{""word"":""regards"",""count"":6},{""word"":""dire"",""count"":6},{""word"":""joli"",""count"":6},{""word"":""fini"",""count"":6},{""word"":""monté"",""count"":6},{""word"":""petit"",""count"":6},{""word"":""assise"",""count"":6},{""word"":""voulu"",""count"":5},{""word"":""brun"",""count"":5},{""word"":""blouson"",""count"":5},{""word"":""rame"",""count"":5},{""word"":""rouge"",""count"":5},{""word"":""stations"",""count"":5},{""word"":""peu"",""count"":5},{""word"":""très"",""count"":5},{""word"":""juste"",""count"":5},{""word"":""bleu"",""count"":5},{""word"":""grand"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""jeune"",""count"":4},{""word"":""pouvoir"",""count"":4},{""word"":""devant"",""count"":4},{""word"":""prendre"",""count"":4},{""word"":""sourire"",""count"":4},{""word"":""tres"",""count"":4},{""word"":""soir"",""count"":4},{""word"":""train"",""count"":4},{""word"":""sorti"",""count"":4},{""word"":""station"",""count"":4},{""word"":""dos"",""count"":4},{""word"":""croisé"",""count"":4},{""word"":""revoir"",""count"":4},{""word"":""queue"",""count"":4},{""word"":""jean"",""count"":4},{""word"":""peut"",""count"":4},{""word"":""place"",""count"":3},{""word"":""diderot"",""count"":3},{""word"":""toujours"",""count"":3},{""word"":""épaules"",""count"":3},{""word"":""reuillydiderot"",""count"":3},{""word"":""direction"",""count"":3},{""word"":""sourires"",""count"":3},{""word"":""j'étais"",""count"":3},{""word"":""robe"",""count"":3},{""word"":""échangé"",""count"":3},{""word"":""veste"",""count"":3},{""word"":""brune"",""count"":3},{""word"":""costume"",""count"":3},{""word"":""cuir"",""count"":3},{""word"":""courts"",""count"":3},{""word"":""pantalon"",""count"":3},{""word"":""envie"",""count"":3},{""word"":""sortie"",""count"":3},{""word"":""habillée"",""count"":3},{""word"":""plusieurs"",""count"":3},{""word"":""côté"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""m'avez"",""count"":3},{""word"":""montée"",""count"":3},{""word"":""casquette"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""bouteille"",""count"":3},{""word"":""encore"",""count"":3},{""word"":""rame"",""count"":3},{""word"":""femme"",""count"":3},{""word"":""main"",""count"":3},{""word"":""semaine"",""count"":3},{""word"":""courage"",""count"":3},{""word"":""dessus"",""count"":3},{""word"":""chemise"",""count"":3},{""word"":""retourné"",""count"":3},{""word"":""dois"",""count"":3},{""word"":""assez"",""count"":3},{""word"":""étions"",""count"":2},{""word"":""courts"",""count"":2},{""word"":""temps"",""count"":2},{""word"":""l'air"",""count"":2},{""word"":""rouge"",""count"":2},{""word"":""pliante"",""count"":2},{""word"":""échangés"",""count"":2},{""word"":""bout"",""count"":2},{""word"":""gare"",""count"":2},{""word"":""chercher"",""count"":2},{""word"":""bleus"",""count"":2},{""word"":""instant"",""count"":2},{""word"":""quand"",""count"":2},{""word"":""avait"",""count"":2},{""word"":""appuyé"",""count"":2},{""word"":""habillé"",""count"":2},{""word"":""vincennes"",""count"":2},{""word"":""aperçu"",""count"":2},{""word"":""jour"",""count"":2},{""word"":""surtout"",""count"":2},{""word"":""bleus"",""count"":2},{""word"":""laisser"",""count"":2},{""word"":""jupe"",""count"":2},{""word"":""descend"",""count"":2},{""word"":""lises"",""count"":2},{""word"":""soirée"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""attention"",""count"":2},{""word"":""t'aborder"",""count"":2},{""word"":""livre"",""count"":2},{""word"":""châtain"",""count"":2},{""word"":""gris"",""count"":2},{""word"":""veux"",""count"":2},{""word"":""regardé"",""count"":2},{""word"":""presque"",""count"":2},{""word"":""court"",""count"":2},{""word"":""souvent"",""count"":2},{""word"":""quel"",""count"":2},{""word"":""foncé"",""count"":2},{""word"":""rame"",""count"":2},{""word"":""blonde"",""count"":2},{""word"":""portais"",""count"":2},{""word"":""reuillydiderot"",""count"":2},{""word"":""dernière"",""count"":2},{""word"":""chance"",""count"":2},{""word"":""belle"",""count"":2},{""word"":""parler"",""count"":2},{""word"":""pendant"",""count"":2},{""word"":""lyon"",""count"":2},{""word"":""visage"",""count"":2},{""word"":""tenant"",""count"":2},{""word"":""regrette"",""count"":2},{""word"":""grand"",""count"":2},{""word"":""également"",""count"":2},{""word"":""droit"",""count"":2},{""word"":""faisait"",""count"":2},{""word"":""banquettes"",""count"":2},{""word"":""triste"",""count"":2},{""word"":""tôt"",""count"":2},{""word"":""j'aimerais"",""count"":2},{""word"":""laissé"",""count"":2},{""word"":""échange"",""count"":2},{""word"":""venir"",""count"":2},{""word"":""moins"",""count"":2},{""word"":""plutôt"",""count"":2},{""word"":""étant"",""count"":2},{""word"":""regardés"",""count"":2},{""word"":""concert"",""count"":2},{""word"":""haut"",""count"":2},{""word"":""porte"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""bref"",""count"":2},{""word"":""couple"",""count"":2},{""word"":""dernier"",""count"":2},{""word"":""environ"",""count"":2},{""word"":""tenter"",""count"":2},{""word"":""feu"",""count"":2},{""word"":""pris"",""count"":2},{""word"":""beige"",""count"":2},{""word"":""wagon"",""count"":2},{""word"":""vert"",""count"":2},{""word"":""tant"",""count"":2},{""word"":""bouc"",""count"":2},{""word"":""non"",""count"":2},{""word"":""prochaine"",""count"":2},{""word"":""galanterie"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""descendre"",""count"":2},{""word"":""crois"",""count"":2},{""word"":""timide"",""count"":2},{""word"":""aussi"",""count"":2},{""word"":""partant"",""count"":2},{""word"":""ensuite"",""count"":2},{""word"":""châtelet"",""count"":2},{""word"":""arrivant"",""count"":2},{""word"":""n'est"",""count"":2},{""word"":""fin"",""count"":2},{""word"":""hasard"",""count"":2},{""word"":""matin"",""count"":2},{""word"":""janv"",""count"":2},{""word"":""t'as"",""count"":2},{""word"":""face"",""count"":2},{""word"":""vêtue"",""count"":2},{""word"":""entamer"",""count"":2},{""word"":""d'eau"",""count"":2},{""word"":""vert"",""count"":2},{""word"":""etais"",""count"":2},{""word"":""pense"",""count"":2},{""word"":""tête"",""count"":2},{""word"":""écouteurs"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""quitté"",""count"":2},{""word"":""journée"",""count"":2},{""word"":""plusieurs"",""count"":2},{""word"":""tweed"",""count"":2},{""word"":""reuillydiderot"",""count"":2},{""word"":""marron"",""count"":2},{""word"":""magnifique"",""count"":2},{""word"":""marron"",""count"":2},{""word"":""beau"",""count"":2},{""word"":""croise"",""count"":2},{""word"":""porte"",""count"":2},{""word"":""pendant"",""count"":2},{""word"":""trentaine"",""count"":2},{""word"":""deux"",""count"":2},{""word"":""ami"",""count"":2},{""word"":""cours"",""count"":2},{""word"":""accompagné"",""count"":2},{""word"":""bonne"",""count"":2},]"	48.8472381327386	2.38611818658013	Reuilly-Diderot	6	31	15849	0	3	863	2	18	11028	3	9	3496	1	1	462
richard-lenoir	1640016	1	"[{""word"":""richard"",""count"":4},{""word"":""regards"",""count"":3},{""word"":""sourire"",""count"":2},{""word"":""qu'elle"",""count"":2},{""word"":""gare"",""count"":2},{""word"":""robe"",""count"":2},{""word"":""environ"",""count"":2},{""word"":""très"",""count"":2},{""word"":""lenoir"",""count"":2},{""word"":""croisés"",""count"":2},]"	48.8608927535125	2.3720977804711	Richard-Lenoir	0	4	1354	0	0	0	0	4	1354	0	0	0	0	0	0
richelieu-drouot	5297670	2	"[{""word"":""métro"",""count"":8},{""word"":""yeux"",""count"":6},{""word"":""j'étais"",""count"":4},{""word"":""face"",""count"":4},{""word"":""croisés"",""count"":4},{""word"":""regards"",""count"":4},{""word"":""étions"",""count"":3},{""word"":""temps"",""count"":3},{""word"":""robe"",""count"":3},{""word"":""veste"",""count"":3},{""word"":""bleus"",""count"":3},{""word"":""direction"",""count"":3},{""word"":""sous"",""count"":3},{""word"":""plusieurs"",""count"":3},{""word"":""descendue"",""count"":3},{""word"":""station"",""count"":3},{""word"":""assise"",""count"":3},{""word"":""rame"",""count"":2},{""word"":""coussin"",""count"":2},{""word"":""transparents"",""count"":2},{""word"":""regardais"",""count"":2},{""word"":""échangé"",""count"":2},{""word"":""barbe"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""rentree"",""count"":2},{""word"":""facon"",""count"":2},{""word"":""passé"",""count"":2},{""word"":""sourire"",""count"":2},{""word"":""quelques"",""count"":2},{""word"":""souris"",""count"":2},{""word"":""oreilles"",""count"":2},{""word"":""portais"",""count"":2},{""word"":""souri"",""count"":2},{""word"":""drouot"",""count"":2},{""word"":""sourires"",""count"":2},{""word"":""grise"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""lisais"",""count"":2},{""word"":""couleur"",""count"":2},{""word"":""sortie"",""count"":2},{""word"":""échangeons"",""count"":2},{""word"":""metro"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""brunette"",""count"":2},{""word"":""strapontin"",""count"":2},{""word"":""pris"",""count"":2},{""word"":""vert"",""count"":2},{""word"":""montée"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""richelieu"",""count"":2},{""word"":""côte"",""count"":2},{""word"":""premier"",""count"":2},{""word"":""deux"",""count"":2},{""word"":""rap"",""count"":2},]"	48.8720139167525	2.33908809938486	Richelieu-Drouot	5	13	5750	0	0	0	0	6	2499	5	7	3251	0	0	0
riquet	2519241	1	"[{""word"":""aussi"",""count"":3},{""word"":""métro"",""count"":3},{""word"":""soir"",""count"":2},{""word"":""loin"",""count"":2},{""word"":""trouve"",""count"":2},{""word"":""hier"",""count"":2},{""word"":""yeux"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""descendu"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""peu"",""count"":2},{""word"":""plutôt"",""count"":2},{""word"":""superbe"",""count"":2},{""word"":""jour"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""deux"",""count"":2},]"	48.8881235581407	2.37448742568144	Riquet	0	5	2081	0	1	404	0	4	1677	0	0	0	0	0	0
robespierre	4317097	1	"[{""word"":""regards"",""count"":5},{""word"":""robespierre"",""count"":4},{""word"":""regard"",""count"":4},{""word"":""écharpe"",""count"":3},{""word"":""lisais"",""count"":3},{""word"":""etais"",""count"":3},{""word"":""nation"",""count"":3},{""word"":""oreilles"",""count"":3},{""word"":""main"",""count"":2},{""word"":""photo"",""count"":2},{""word"":""portais"",""count"":2},{""word"":""échangés"",""count"":2},{""word"":""t'ai jamais"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""pose"",""count"":2},{""word"":""troublant"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""face"",""count"":2},{""word"":""bleu"",""count"":2},{""word"":""montée"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""casque"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""descendue"",""count"":2},]"	48.85556400483	2.42355673885079	Robespierre	5	11	2899	0	0	0	0	6	1776	5	5	1123	0	0	0
rome	2747395	1	"[{""word"":""brune"",""count"":5},{""word"":""rome"",""count"":3},{""word"":""descendu"",""count"":3},{""word"":""peu"",""count"":3},{""word"":""noir"",""count"":3},{""word"":""avant"",""count"":2},{""word"":""grec"",""count"":2},{""word"":""station"",""count"":2},{""word"":""stations"",""count"":2},{""word"":""matin"",""count"":2},{""word"":""livre"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""habillée"",""count"":2},{""word"":""monté"",""count"":2},{""word"":""station"",""count"":2},{""word"":""métro"",""count"":2},]"	48.8825292240735	2.32098414419979	Rome	0	5	1761	0	1	242	0	3	1175	0	1	344	0	0	0
rue-de-la-pompe	3081914	1	"[{""word"":""direction"",""count"":7},{""word"":""cheveux"",""count"":7},{""word"":""rue"",""count"":6},{""word"":""métro"",""count"":6},{""word"":""yeux"",""count"":5},{""word"":""regard"",""count"":5},{""word"":""quand"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""descendue"",""count"":4},{""word"":""manteau"",""count"":4},{""word"":""grand"",""count"":3},{""word"":""brune"",""count"":3},{""word"":""veste"",""count"":3},{""word"":""descendu"",""count"":3},{""word"":""pont"",""count"":3},{""word"":""brun"",""count"":3},{""word"":""quelques"",""count"":3},{""word"":""portais"",""count"":3},{""word"":""assis"",""count"":3},{""word"":""wagon"",""count"":3},{""word"":""face"",""count"":3},{""word"":""très"",""count"":3},{""word"":""regard"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""bleu"",""count"":3},{""word"":""pompe"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""doux"",""count"":2},{""word"":""grands"",""count"":2},{""word"":""pont"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""bonjour"",""count"":2},{""word"":""sourire"",""count"":2},{""word"":""plaisir"",""count"":2},{""word"":""noire"",""count"":2},{""word"":""blond"",""count"":2},{""word"":""rue"",""count"":2},{""word"":""pantalon"",""count"":2},{""word"":""belle"",""count"":2},{""word"":""levé"",""count"":2},{""word"":""reflet"",""count"":2},{""word"":""grand"",""count"":2},{""word"":""couleur"",""count"":2},{""word"":""retourner"",""count"":2},{""word"":""rue"",""count"":2},{""word"":""plusieurs"",""count"":2},{""word"":""jean"",""count"":2},{""word"":""debout"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""blond"",""count"":2},{""word"":""bonnet"",""count"":2},{""word"":""moment"",""count"":2},{""word"":""strapontin"",""count"":2},{""word"":""regardé"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""wagon"",""count"":2},{""word"":""montée"",""count"":2},{""word"":""strapontins"",""count"":2},{""word"":""écouteurs"",""count"":2},{""word"":""chemise"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""roux"",""count"":2},{""word"":""croisé"",""count"":2},{""word"":""blonde"",""count"":2},]"	48.8641004131629	2.27762632988678	Rue de la Pompe (Avenue Georges Mandel)	3	15	5863	0	1	259	2	11	4378	1	3	1226	0	0	0
rue-des-boulets	2669336	1	"[{""word"":""rue"",""count"":4},{""word"":""métro"",""count"":4},{""word"":""face"",""count"":3},{""word"":""très"",""count"":3},{""word"":""mat"",""count"":2},{""word"":""face"",""count"":2},{""word"":""aussi"",""count"":2},{""word"":""rue"",""count"":2},{""word"":""yeux"",""count"":2},{""word"":""direction"",""count"":2},{""word"":""ouvert"",""count"":2},{""word"":""barbe"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""boulets"",""count"":2},{""word"":""strasbourg"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""peu"",""count"":2},{""word"":""moment"",""count"":2},{""word"":""souri"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""coude"",""count"":2},{""word"":""debout"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""descendue"",""count"":2},{""word"":""face"",""count"":2},{""word"":""environs"",""count"":2},{""word"":""après"",""count"":2},{""word"":""manteau"",""count"":2},]"	48.8521417733756	2.38914280457034	Rue des Boulets	0	6	2787	0	0	0	0	6	2787	0	0	0	0	0	0
rue-du-bac	2563169	1	"[{""word"":""regards"",""count"":8},{""word"":""rue"",""count"":6},{""word"":""métro"",""count"":6},{""word"":""descendu"",""count"":5},{""word"":""bac"",""count"":5},{""word"":""station"",""count"":5},{""word"":""yeux"",""count"":4},{""word"":""sourire"",""count"":4},{""word"":""face"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""ligne"",""count"":4},{""word"":""très"",""count"":4},{""word"":""croisés"",""count"":4},{""word"":""rame"",""count"":3},{""word"":""veste"",""count"":3},{""word"":""quelque"",""count"":3},{""word"":""d'oeil"",""count"":3},{""word"":""noir"",""count"":3},{""word"":""cheveux"",""count"":3},{""word"":""monté"",""count"":3},{""word"":""regard"",""count"":3},{""word"":""clin"",""count"":3},{""word"":""rue"",""count"":3},{""word"":""assise"",""count"":3},{""word"":""bleu"",""count"":3},{""word"":""chemise"",""count"":3},{""word"":""porte"",""count"":3},{""word"":""étions"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""rose"",""count"":2},{""word"":""longuement"",""count"":2},{""word"":""quand"",""count"":2},{""word"":""l'air"",""count"":2},{""word"":""voir"",""count"":2},{""word"":""voulais"",""count"":2},{""word"":""parler"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""matin"",""count"":2},{""word"":""chose"",""count"":2},{""word"":""souri"",""count"":2},{""word"":""merci"",""count"":2},{""word"":""veux"",""count"":2},{""word"":""marine"",""count"":2},{""word"":""vraiment"",""count"":2},{""word"":""montés"",""count"":2},{""word"":""tellement"",""count"":2},{""word"":""aviez"",""count"":2},{""word"":""bonjour"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""bac"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""lisiez"",""count"":2},{""word"":""train"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""qu'il"",""count"":2},{""word"":""casque"",""count"":2},{""word"":""moins"",""count"":2},{""word"":""regarder"",""count"":2},{""word"":""descendue"",""count"":2},{""word"":""environ"",""count"":2},{""word"":""déjà"",""count"":2},{""word"":""rousse"",""count"":2},{""word"":""répondre"",""count"":2},{""word"":""n'avais"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""//2"",""count"":2},{""word"":""aussi"",""count"":2},{""word"":""semaines"",""count"":2},{""word"":""après"",""count"":2},]"	48.8557564721823	2.32556882179391	Rue du Bac	0	11	5811	0	0	0	0	6	3992	0	5	1819	0	0	0
rue-saint-maur	2846171	1	"[{""word"":""rue"",""count"":9},{""word"":""métro"",""count"":6},{""word"":""yeux"",""count"":5},{""word"":""descendu"",""count"":5},{""word"":""station"",""count"":5},{""word"":""sourire"",""count"":4},{""word"":""portais"",""count"":4},{""word"":""maur"",""count"":4},{""word"":""écharpe"",""count"":3},{""word"":""temps"",""count"":3},{""word"":""veste"",""count"":3},{""word"":""peutêtre"",""count"":3},{""word"":""rue"",""count"":3},{""word"":""peu"",""count"":3},{""word"":""faisait"",""count"":3},{""word"":""j'étais"",""count"":3},{""word"":""aura"",""count"":3},{""word"":""rien"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""regard"",""count"":3},{""word"":""n'était"",""count"":3},{""word"":""bleu"",""count"":3},{""word"":""marron"",""count"":3},{""word"":""passagère"",""count"":3},{""word"":""trajet"",""count"":3},{""word"":""saintmaur"",""count"":2},{""word"":""échangés"",""count"":2},{""word"":""peux"",""count"":2},{""word"":""depuis"",""count"":2},{""word"":""revoir "",""count"":2},{""word"":""jusqu'à"",""count"":2},{""word"":""saintmaur"",""count"":2},{""word"":""laissait"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""métro"",""count"":2},{""word"":""ses"",""count"":2},{""word"":""sac"",""count"":2},{""word"":""aviez"",""count"":2},{""word"":""partir"",""count"":2},{""word"":""clairs"",""count"":2},{""word"":""homme"",""count"":2},{""word"":""ondulés"",""count"":2},{""word"":""sourires"",""count"":2},{""word"":""croire"",""count"":2},{""word"":""navigo"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""métro"",""count"":2},{""word"":""face"",""count"":2},{""word"":""encore"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""n'est"",""count"":2},{""word"":""j'aimerais"",""count"":2},{""word"":""contre"",""count"":2},{""word"":""très"",""count"":2},{""word"":""petit"",""count"":2},{""word"":""regardés"",""count"":2},{""word"":""teint"",""count"":2},{""word"":""sorti"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""déjà"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""vert"",""count"":2},{""word"":""belle”"",""count"":2},{""word"":""sens"",""count"":2},{""word"":""tête"",""count"":2},{""word"":""écouteurs"",""count"":2},{""word"":""trench"",""count"":2},{""word"":""châtains"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""monsieur"",""count"":2},{""word"":""“tu"",""count"":2},{""word"":""timide"",""count"":2},{""word"":""dis"",""count"":2},{""word"":""partant"",""count"":2},{""word"":""oublier"",""count"":2},{""word"":""porte"",""count"":2},{""word"":""dos"",""count"":2},{""word"":""pendant"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""ensemble"",""count"":2},{""word"":""deux"",""count"":2},{""word"":""serai"",""count"":2},]"	48.8639878082439	2.38007329534159	Rue Saint-Maur	3	14	6483	0	0	0	0	9	4796	3	5	1687	0	0	0
saint-ambroise	2758716	1	"[{""word"":""yeux"",""count"":6},{""word"":""direction"",""count"":4},{""word"":""cheveux"",""count"":4},{""word"":""métro"",""count"":4},{""word"":""pris"",""count"":3},{""word"":""très"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""blond"",""count"":2},{""word"":""marin"",""count"":2},{""word"":""ambroise"",""count"":2},{""word"":""voulu"",""count"":2},{""word"":""homme"",""count"":2},{""word"":""coincé"",""count"":2},{""word"":""wagon"",""count"":2},{""word"":""regardés"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""porte"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""station"",""count"":2},{""word"":""uniforme"",""count"":2},]"	48.8612121032505	2.37409760383489	Saint-Ambroise	0	7	2514	0	1	176	0	4	1957	0	2	381	0	0	0
saint-augustin	2923768	1	"[{""word"":""très"",""count"":9},{""word"":""yeux"",""count"":8},{""word"":""descendu"",""count"":8},{""word"":""saint"",""count"":8},{""word"":""regard"",""count"":6},{""word"":""petite"",""count"":6},{""word"":""station"",""count"":6},{""word"":""augustin"",""count"":6},{""word"":""veste"",""count"":5},{""word"":""direction"",""count"":5},{""word"":""petit"",""count"":5},{""word"":""assise"",""count"":5},{""word"":""chemise"",""count"":5},{""word"":""regards"",""count"":5},{""word"":""robe"",""count"":4},{""word"":""noire"",""count"":4},{""word"":""blonde"",""count"":4},{""word"":""portais"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""pantalon"",""count"":4},{""word"":""jeune"",""count"":4},{""word"":""cheveux"",""count"":4},{""word"":""face"",""count"":4},{""word"":""descendue"",""count"":4},{""word"":""augustin"",""count"":4},{""word"":""métro"",""count"":4},{""word"":""quand"",""count"":3},{""word"":""rose"",""count"":3},{""word"":""brune"",""count"":3},{""word"":""gris"",""count"":3},{""word"":""court"",""count"":3},{""word"":""quelques"",""count"":3},{""word"":""rouge"",""count"":3},{""word"":""soir"",""count"":3},{""word"":""sourires"",""count"":3},{""word"":""bonjour"",""count"":3},{""word"":""visage"",""count"":3},{""word"":""noir"",""count"":3},{""word"":""ligne"",""count"":3},{""word"":""sorti"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""blanc"",""count"":3},{""word"":""j'espère"",""count"":3},{""word"":""mairie"",""count"":3},{""word"":""quelques"",""count"":3},{""word"":""bonne"",""count"":3},{""word"":""descendre"",""count"":3},{""word"":""blanc"",""count"":3},{""word"":""porte"",""count"":3},{""word"":""deux"",""count"":3},{""word"":""montreuil"",""count"":3},{""word"":""complices"",""count"":2},{""word"":""te revoir"",""count"":2},{""word"":""homme"",""count"":2},{""word"":""avant"",""count"":2},{""word"":""laisser"",""count"":2},{""word"":""voir"",""count"":2},{""word"":""échangé"",""count"":2},{""word"":""lancé"",""count"":2},{""word"":""échangés"",""count"":2},{""word"":""ici"",""count"":2},{""word"":""barbe"",""count"":2},{""word"":""long"",""count"":2},{""word"":""matin"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""qlq"",""count"":2},{""word"":""espérant"",""count"":2},{""word"":""alentours"",""count"":2},{""word"":""devant"",""count"":2},{""word"":""jouait"",""count"":2},{""word"":""vieux"",""count"":2},{""word"":""lorsque"",""count"":2},{""word"":""ben"",""count"":2},{""word"":""plaisir"",""count"":2},{""word"":""sac"",""count"":2},{""word"":""noire"",""count"":2},{""word"":""carré"",""count"":2},{""word"":""donné"",""count"":2},{""word"":""violon"",""count"":2},{""word"":""montés"",""count"":2},{""word"":""homme"",""count"":2},{""word"":""lisais"",""count"":2},{""word"":""teeshirt"",""count"":2},{""word"":""beauté"",""count"":2},{""word"":""jour"",""count"":2},{""word"":""trajet"",""count"":2},{""word"":""meme"",""count"":2},{""word"":""train"",""count"":2},{""word"":""grand"",""count"":2},{""word"":""revoir"",""count"":2},{""word"":""également"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""sortie"",""count"":2},{""word"":""osé"",""count"":2},{""word"":""j'aimerais"",""count"":2},{""word"":""fin"",""count"":2},{""word"":""pièce"",""count"":2},{""word"":""regarder"",""count"":2},{""word"":""haut"",""count"":2},{""word"":""emportant"",""count"":2},{""word"":""coloré"",""count"":2},{""word"":""dernier"",""count"":2},{""word"":""augustin"",""count"":2},{""word"":""estce"",""count"":2},{""word"":""prix"",""count"":2},{""word"":""valise"",""count"":2},{""word"":""philippe"",""count"":2},{""word"":""autre"",""count"":2},{""word"":""l'occasion"",""count"":2},{""word"":""collier"",""count"":2},{""word"":""echarpe"",""count"":2},{""word"":""ans"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""marron"",""count"":2},{""word"":""amusés"",""count"":2},{""word"":""portes"",""count"":2},{""word"":""vendredi"",""count"":2},{""word"":""nombreux"",""count"":2},{""word"":""blanche"",""count"":2},{""word"":""après"",""count"":2},{""word"":""jamais"",""count"":2},]"	48.8746742716311	2.32043139650991	Saint-Augustin	5	18	8709	3	2	1961	0	10	3957	1	5	2468	1	1	323
saint-denis-porte-de-paris	3517853	1	"[{""word"":""yeux"",""count"":4},{""word"":""porte"",""count"":4},{""word"":""regards"",""count"":4},{""word"":""étions"",""count"":3},{""word"":""temps"",""count"":3},{""word"":""portais"",""count"":3},{""word"":""denis"",""count"":3},{""word"":""homme"",""count"":3},{""word"":""jeune"",""count"":3},{""word"":""descendu"",""count"":3},{""word"":""saint"",""count"":3},{""word"":""quel"",""count"":2},{""word"":""noire"",""count"":2},{""word"":""picture"",""count"":2},{""word"":""mince"",""count"":2},{""word"":""d'avoir"",""count"":2},{""word"":""cuir"",""count"":2},{""word"":""soir"",""count"":2},{""word"":""rocky"",""count"":2},{""word"":""hier"",""count"":2},{""word"":""direction"",""count"":2},{""word"":""détourné"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""horror"",""count"":2},{""word"":""parler"",""count"":2},{""word"":""peu"",""count"":2},{""word"":""paris"",""count"":2},{""word"":""wagon"",""count"":2},{""word"":""metro"",""count"":2},{""word"":""rien"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""combien"",""count"":2},{""word"":""dernier"",""count"":2},{""word"":""manteau"",""count"":2},]"	48.9296276098426	2.35741016429387	Saint-Denis-Porte de Paris	3	8	3373	0	0	0	1	4	1154	2	4	2219	0	0	0
